R,53.3831,-6.4242,D915,08 Feb 2026,D915\n16:17 - Dublin Connolly to Maynooth (1 mins late)\nDeparted Clonsilla next stop Leixlip (Confey),Northbound
R,53.3853,-6.44205,P377,08 Feb 2026,P377\n16:40 - M3 Parkway to Clonsilla (0 mins late)\nArrived Hansfield next stop Clonsilla,Southbound
R,53.392,-6.11448,E123,08 Feb 2026,E123\n16:42 - Howth to Greystones (0 mins late)\nDeparted Sutton next stop Bayside,Southbound
R,53.4032,-6.14839,E812,08 Feb 2026,E812\n15:20 - Greystones to Malahide (8 mins late)\nDeparted Clongriffin next stop Portmarnock,Northbound
R,53.5201,-6.1439,D814,08 Feb 2026,D814\n16:10 - Dublin Connolly to Drogheda (1 mins late)\nDeparted Rush and Lusk next stop Skerries,Northbound
R,53.6888,-7.60299,A908,08 Feb 2026,A908\n15:05 - Dublin Connolly to Sligo (1 mins late)\nDeparted Edgeworthstown next stop Longford,Northbound
R,53.6888,-7.60299,A911,08 Feb 2026,A911\n15:05 - Sligo to Dublin Connolly (1 mins late)\nDeparted Edgeworthstown next stop Mullingar,Southbound
R,53.712,-6.33538,P718,08 Feb 2026,P718\n16:45 - Drogheda to Dublin Connolly (0 mins late)\nDeparted Drogheda next stop Laytown,Southbound
R,54.0007,-6.41291,A154,08 Feb 2026,A154\n14:50 - Dublin Connolly to Belfast (1 mins late)\nDeparted Dundalk next stop Newry,Northbound
T,53.2043,-6.10046,E219,08 Feb 2026,E219\n15:27 - Howth to Bray(1 mins late)\nTERMINATED Bray at 16:42,Southbound
T,53.334,-6.37868,A407,08 Feb 2026,A407\n14:20 - Limerick to Dublin Heuston(2 mins late)\nTERMINATED Park West and Cherry Orchard at 16:37,To Dublin Heuston
T,53.334,-6.37868,A803,08 Feb 2026,A803\n13:20 - Westport to Dublin Heuston(1 mins late)\nTERMINATED Park West and Cherry Orchard at 16:40,To Dublin Heuston
T,53.3531,-6.24591,P716,08 Feb 2026,P716\n15:45 - Drogheda to Dublin Connolly(1 mins late)\nTERMINATED Dublin Connolly at 16:46,Southbound
T,53.3891,-6.07401,E960,08 Feb 2026,E960\n15:55 - Lansdowne Road to Howth(9 mins late)\nTERMINATED Howth at 16:41,Northbound
